DEPTH;CD;Failures
3;yes;0
3;yes;0
3;yes;0
3;yes;0
3;yes;0
3;yes;0
3;yes;1
3;yes;0
3;yes;0
3;yes;0
1;yes;1
1;yes;1
1;yes;1
1;yes;1
1;yes;0
1;yes;1
1;yes;1
1;yes;1
1;yes;1
1;yes;1
6;yes;0
6;yes;0
6;yes;0
6;yes;0
6;yes;0
6;yes;0
6;yes;1
6;yes;1
6;yes;0
6;yes;0
3;no;0
3;no;0
3;no;0
3;no;0
3;no;0
3;no;0
3;no;1
3;no;0
3;no;0
3;no;0
6;no;0
6;no;0
6;no;0
6;no;0
6;no;0
6;no;0
6;no;1
6;no;1
6;no;0
6;no;0
1;no;1
1;no;1
1;no;1
1;no;1
1;no;0
1;no;1
1;no;1
1;no;1
1;no;1
1;no;1
